symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,ticker,market_cap_usd,nasdaq_sector,nasdaq_industry,company_name,cik,gics_company_name,gics_sector,gics_industry,classification_source,included_by,snapshot_date,universe_source,universe_source_url,calls_in_gold_corpus,first_event_date,last_event_date,snapshot_log_market_cap,snapshot_market_cap_percentile
GOOGL,Alphabet Inc. Class A Common Stock,$332.91,11.60,3.61%,27603995,4027212270000.00,United States,2004,Interactive Media & Services,Communication Services,/market-activity/stocks/googl,GOOGL,4027212270000.0,Technology,Computer Software: Programming Data Processing,Alphabet Inc. (Class A),1652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,sp500_gics,forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,70,2006-04-21,2025-04-24,29.024095508104704,0.9855072463768116
AMZN,Amazon.com Inc. Common Stock,$249.02,9.13,3.806%,72499381,2678023782987.00,United States,1997,Broadline Retail,Consumer Discretionary,/market-activity/stocks/amzn,AMZN,2678023782987.0,Consumer Discretionary,Catalog/Specialty Distribution,Amazon,1018724,Amazon,Consumer Discretionary,Broadline Retail,sp500_gics,forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,74,2006-02-03,2025-05-01,28.616100244034495,0.9420289855072463
META,Meta Platforms Inc. Class A Common Stock,$662.49,27.96,4.406%,17696411,1675805199345.00,United States,2012,Interactive Media & Services,Communication Services,/market-activity/stocks/meta,META,1675805199345.0,Technology,Computer Software: Programming Data Processing,Meta Platforms,1326801,Meta Platforms,Communication Services,Interactive Media & Services,sp500_gics,forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,42,2013-05-01,2025-04-30,28.14731488172551,0.9130434782608695
TSLA,Tesla Inc. Common Stock,$364.20,11.78,3.343%,59780164,1366635728573.00,United States,2010,Automobile Manufacturers,Consumer Discretionary,/market-activity/stocks/tsla,TSLA,1366635728573.0,Industrials,Auto Manufacturing,"Tesla, Inc.",1318605,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,sp500_gics,forced_include,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,43,2014-05-08,2025-04-22,27.943373163084953,0.8985507246376812
AVGO,Broadcom Inc. Common Stock,$380.78,1.03,0.271%,24122034,1802866951104.00,United States,2009,Semiconductors,Information Technology,/market-activity/stocks/avgo,AVGO,1802866951104.0,Technology,Semiconductors,Broadcom,1730168,Broadcom,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,29,2006-01-31,2025-03-06,28.220399264361994,0.927536231884058
MU,Micron Technology Inc. Common Stock,$465.66,39.10,9.166%,52189116,525140638189.00,United States,,Semiconductors,Information Technology,/market-activity/stocks/mu,MU,525140638189.0,Technology,Semiconductors,Micron Technology,723125,Micron Technology,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,57,2005-12-26,2024-12-18,26.98693194592875,0.8840579710144928
ORCL,Oracle Corporation Common Stock,$163.00,7.38,4.742%,59611658,468795498000.00,United States,1986,Application Software,Information Technology,/market-activity/stocks/orcl,ORCL,468795498000.0,Technology,Computer Software: Prepackaged Software,Oracle Corporation,1341439,Oracle Corporation,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,50,2006-03-20,2025-03-10,26.873432471920783,0.8695652173913043
AMD,Advanced Micro Devices Inc. Common Stock,$255.07,8.24,3.338%,25613544,415850512360.00,United States,,Semiconductors,Information Technology,/market-activity/stocks/amd,AMD,415850512360.0,Technology,Semiconductors,Advanced Micro Devices,2488,Advanced Micro Devices,Information Technology,Semiconductors,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,86,2006-01-19,2025-05-06,26.753591687339224,0.855072463768116
LRCX,Lam Research Corporation Common Stock,$272.41,5.09,1.904%,8484092,340177708110.00,United States,1984,Semiconductor Materials & Equipment,Information Technology,/market-activity/stocks/lrcx,LRCX,340177708110.0,Technology,Industrial Machinery/Components,Lam Research,707549,Lam Research,Information Technology,Semiconductor Materials & Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,54,2011-10-19,2025-04-23,26.552733988923517,0.8405797101449275
CSCO,Cisco Systems Inc. Common Stock (DE),$82.61,0.26,0.316%,17850637,326300664200.00,United States,1990,Communications Equipment,Information Technology,/market-activity/stocks/csco,CSCO,326300664200.0,Telecommunications,Computer Communications Equipment,Cisco,858877,Cisco,Information Technology,Communications Equipment,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,73,2006-05-09,2025-05-14,26.51108507609372,0.8260869565217391
PLTR,Palantir Technologies Inc. Class A Common Stock,$135.70,3.33,2.516%,52640299,324414015483.00,United States,,Application Software,Information Technology,/market-activity/stocks/pltr,PLTR,324414015483.0,Technology,Computer Software: Prepackaged Software,Palantir Technologies,1321655,Palantir Technologies,Information Technology,Application Software,sp500_gics,sector_filter,2026-04-15,nasdaq_screener+sp500_gics,https://api.nasdaq.com/api/screener/stocks?tableonly=true&limit=10000&download=true,17,2020-11-16,2025-05-05,26.505286362579298,0.8115942028985508
